HI91,pc_counter,sys_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,roll,pitch,yaw,pps_sync_stamp,incli_x,incli_y,quat_w,quat_x,quat_y,quat_z,temperature,pressure,acc_norm,gyr_norm,mag_norm
HI91,95508,10612,-0.0003662109375,0.002847290132,0.9983459711,0.007436581887,0.01937076822,-0.009123250842,-11.01666737,-2.933333397,-34.95833588,0.01578876935,0.1486155689,1.15407455,2.42,0.01578876935,0.1486155689,0.9999485016,0.001295491005,0.0001508409332,0.01007142756,32,103753.9453,0.9983500985,0.02266634328,36.77032298
HI91,95509,10622,0.0003753662168,0.002645874163,0.998162806,-0.02307974547,0.008689053357,-0.01217500865,-10.64166737,-2.933333397,-35.33333588,0.01552020106,0.148705259,1.154075146,2.43,0.01552020106,0.148705259,0.9999485016,0.001296297181,0.0001485051762,0.01007143036,32,103753.9453,0.9981663834,0.02750282049,37.01748443
HI91,95510,10632,0.0002197265567,0.003240967169,0.9986206889,0.01354347728,-0.03098597005,-0.01827852055,-10.85000038,-3.350000143,-34.875,0.01562275551,0.1489254534,1.154075027,2.44,0.01562275551,0.1489254534,0.9999485016,0.001298209769,0.0001494194439,0.01007142942,32,103753.9453,0.9986259723,0.03844034899,36.67711322
HI91,95511,10642,-8.239746239e-05,0.003634643275,0.9976318479,0.04864139482,-0.03709046915,-0.03353730217,-10.64166737,-3.291666746,-35.125,0.01549313217,0.1489969939,1.154075265,2.45,0.01549313217,0.1489969939,0.9999485016,0.001298845629,0.00014829461,0.01007143129,32,103754.0391,0.9976384722,0.06975986546,36.848959
HI91,95512,10652,-1.831054396e-05,0.003616332775,0.9967254996,0.04406633228,-0.06913449615,-0.02438203059,-10.68333435,-3.166666746,-34.625,0.01550293248,0.1492073983,1.154075265,2.46,0.01550293248,0.1492073983,0.9999485016,0.0013006808,0.0001483986125,0.01007143129,32,103754.0391,0.9967320602,0.08553305568,36.37378226
HI91,95513,10662,-0.0009796143277,0.003369140672,0.9973755479,0.04864629731,-0.01725518331,-0.007597358432,-10.97500038,-3.125000238,-35.20833588,0.01551273093,0.14922297,1.154075265,2.47,0.01551273093,0.14922297,0.9999485016,0.001300815726,0.0001484854729,0.01007143129,32,103754.0391,0.9973817194,0.0521720562,37.0113925
HI91,95514,10672,-0.00122680678,0.002664184896,0.9984650016,0.005922579207,0.0407287553,0.01071318891,-10.68333435,-3.041666746,-35.08333588,0.01562332734,0.1491177529,1.154075027,2.48,0.01562332734,0.1491177529,0.9999485016,0.001299887779,0.0001494413445,0.01007143036,32,103754.0391,0.9984693097,0.04252858884,36.79980741
HI91,95515,10682,-0.0005218506558,0.002728271531,0.9979431033,-0.04900951684,0.002583090216,0.0320754908,-10.93333435,-3.041666746,-34.91666794,0.01569709927,0.1492339522,1.154074788,2.49,0.01569709927,0.1492339522,0.9999485016,0.001300895354,0.0001500953076,0.01007142942,32,103754.0391,0.9979469692,0.05862970412,36.71461884
HI91,95516,10692,0.0006225586403,0.003405761439,0.9984465837,-0.05358671769,-0.03251188993,0.01834257692,-10.97500038,-3.083333492,-35.16666794,0.01541391946,0.1492206603,1.154075503,2.5,0.01541391946,0.1492206603,0.9999485016,0.001300804317,0.0001476229954,0.01007143222,32,103754.0391,0.9984525864,0.06530703966,36.96825818
HI91,95517,10702,0.0009704590193,0.004229736514,0.9988037348,-0.02459373325,-0.02488513291,-0.007597358432,-10.80833435,-2.808333397,-35.20833588,0.01527771074,0.149435848,1.154075861,2.51,0.01527771074,0.149435848,0.9999485016,0.001302693971,0.000146453327,0.01007143408,32,103754.0391,0.9988131622,0.03580281288,36.93688865
HI91,95518,10712,-0.0003845215251,0.004028320778,0.9975404143,-0.01238425076,-0.01268101297,-0.0198043827,-11.12500095,-3.166666746,-35.16666794,0.01523312274,0.1495964229,1.154076099,2.52,0.01523312274,0.1495964229,0.9999485016,0.00130409922,0.0001460783387,0.01007143501,32,103754.0391,0.9975486221,0.02657802346,37.02010208
HI91,95519,10722,-0.000384521496,0.003625488142,0.9972106814,-0.01543285139,-0.02336378582,-0.01217498165,-10.76666737,-3.125000238,-35.04166794,0.01509849727,0.149746269,1.154076457,2.53,0.01509849727,0.149746269,0.9999485016,0.001305418555,0.000144916703,0.01007143687,32,103754.0391,0.997217346,0.03053308972,36.79137459
HI91,95520,10732,0.0005584716564,0.003479003673,0.9971832633,-0.02916404419,-0.0599860698,-0.001493825228,-10.76666737,-3.291666746,-35.33333588,0.01517155487,0.1496070772,1.154076219,2.54,0.01517155487,0.1496070772,0.9999485016,0.001304197707,0.0001455419988,0.01007143594,32,103754.0391,0.9971894885,0.06671657633,37.0837002
HI91,95521,10742,-0.000274658174,0.003002929734,0.997769177,-0.009328566492,-0.05235596374,-0.01675261557,-10.72500038,-2.933333397,-35.54166794,0.01538858283,0.1494678557,1.154075623,2.55,0.01538858283,0.1494678557,0.9999485016,0.001302963588,0.0001474236487,0.01007143315,32,103754.0391,0.9977737336,0.05575678631,37.24030394
